provider,event_id,s_predicted,lat,p_predicted,p_detected,plot_path,s_detected,code,s_confidence,mag,epi_distance,unique_id,time,s_error,date,network,p_error,long,depth,detected,mag_type,p_confidence,catalogued
EMSC,quakeml:eu.emsc/event/20240615_0000131,2024-06-15T13:40:07.698218,43.7128,2024-06-15T13:32:57.298571,,,,R50D6,,4.0,5504.727535945684,2024-06-15_182,2024-06-15T13:24:04.100000,,2024-06-15,AM,,76.6863,1.0,False,mb,,True
EMSC,quakeml:eu.emsc/event/20240615_0000126,2024-06-15T13:44:16.386379,31.049,2024-06-15T13:34:54.941982,,,,R50D6,,2.1,7949.164550652215,2024-06-15_183,2024-06-15T13:23:31.505573,,2024-06-15,AM,,-103.683,5.5,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000123,2024-06-15T13:20:22.185385,35.8391,2024-06-15T13:16:39.093333,2024-06-15T13:16:21.090000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_184_event_plot.png?raw=true,,R50D6,,2.2,2117.298146929581,2024-06-15_184,2024-06-15T13:12:08.380000,,2024-06-15,AM,-18.003333,-4.5848,40.0,True,ml,0.2830826640129089,True
EMSC,quakeml:eu.emsc/event/20240615_0000158,2024-06-15T13:31:12.815513,56.2824,2024-06-15T13:22:22.057110,,,,R50D6,,3.2,7335.201199636483,2024-06-15_185,2024-06-15T13:11:32.612000,,2024-06-15,AM,,-149.7486,11.8,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000130,2024-06-15T13:04:39.074169,38.2358,2024-06-15T12:59:29.569590,,,,R50D6,,1.2,3484.0501820677687,2024-06-15_186,2024-06-15T12:53:07,,2024-06-15,AM,,38.1408,5.1,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000118,2024-06-15T12:53:45.526946,45.7733,2024-06-15T12:51:28.318207,,,,R50D6,,2.9,1346.0130102752382,2024-06-15_187,2024-06-15T12:48:34.350000,,2024-06-15,AM,,11.2023,10.7,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000116,2024-06-15T12:57:59.706426,40.3148,2024-06-15T12:48:28.231516,,,,R50D6,,2.2,8148.469793877174,2024-06-15_188,2024-06-15T12:36:53.850000,,2024-06-15,AM,,-124.7468,18.9,False,md,,True
EMSC,quakeml:eu.emsc/event/20240615_0000258,2024-06-15T12:24:43.133188,50.482,2024-06-15T12:23:02.490261,,,,R50D6,,1.1,802.3283042556957,2024-06-15_189,2024-06-15T12:20:43.900000,,2024-06-15,AM,,8.024,14.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000261,2024-06-15T12:40:09.637014,44.3585,2024-06-15T12:31:18.509030,2024-06-15T12:31:00.690000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_190_event_plot.png?raw=true,,R50D6,,2.2,7345.349253407725,2024-06-15_190,2024-06-15T12:20:28.650000,,2024-06-15,AM,-17.81903,-115.1793,8.6,True,ml,0.2203898876905441,True
EMSC,quakeml:eu.emsc/event/20240615_0000114,2024-06-15T12:35:49.093359,15.42,2024-06-15T12:25:44.207178,2024-06-15T12:25:23.100000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_191_event_plot.png?raw=true,,R50D6,,4.2,8865.462123799773,2024-06-15_191,2024-06-15T12:13:34,,2024-06-15,AM,-21.107178,-95.57,20.4,True,m,0.5513046383857727,True
